"inst","name","city","uint"
"EMPTY","Leonid Libkin","EMPTY","2.6666666666666665"
"EMPTY","EMPTY","Edinburgh","2.5652173913043477"
"EMPTY","Leonid Libkin","Edinburgh","2.189189189189189"
"EMPTY","Georg Gottlob","EMPTY","2.1052631578947367"
"EMPTY","Leonid Libkin","Toronto","2.051282051282051"
"EMPTY","EMPTY","Toronto","2.051282051282051"
"EMPTY","Georg Gottlob","Oxford","2.051282051282051"
"EMPTY","EMPTY","Oxford","2.0285714285714285"
"University of Edinburgh, Edinburgh, United Kingdom","EMPTY","EMPTY","2"
"University of Edinburgh, Edinburgh, United Kingdom","EMPTY","Edinburgh","2"
"University of Toronto","Leonid Libkin","EMPTY","1.975609756097561"
"University of Toronto","Leonid Libkin","Toronto","1.975609756097561"
"EMPTY","Floris Geerts","Edinburgh","1.975609756097561"
"University of Toronto","EMPTY","Toronto","1.975609756097561"
"University of Toronto","EMPTY","EMPTY","1.975609756097561"
"EMPTY","Floris Geerts","EMPTY","1.975609756097561"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","EMPTY","EMPTY","1.9473684210526316"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","EMPTY","Edinburgh","1.9473684210526316"
"University of Edinburgh, Edinburgh, United Kingdom","Leonid Libkin","EMPTY","1.9285714285714286"
"University of Edinburgh, Edinburgh, United Kingdom","Leonid Libkin","Edinburgh","1.9285714285714286"
"EMPTY","EMPTY","Santiago","1.9047619047619047"
"EMPTY","Wenfei Fan","EMPTY","1.85"
"EMPTY","Wenfei Fan","Edinburgh","1.85"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Floris Geerts","EMPTY","1.8409090909090908"
"EMPTY","Leonid Libkin","Santiago","1.8409090909090908"
"EMPTY","Juan L. Reutter","Edinburgh","1.8409090909090908"
"EMPTY","Pablo Barcel","Edinburgh","1.8409090909090908"
